question,market_id,condition_id,market_slug,event_slug,market_url,token_id,complement_token_id,outcome,complement_outcome,end_date_utc,event_start_time_utc,uma_resolution_status,order_price_min_tick_size,neg_risk,fee_type,fees_enabled,volume_24h_usd,pot_usd_per_day,pot_rank,yield_rank,expected_gross_at_min_size,rewards_min_size_shares,rewards_max_spread_cents,mid_price,best_bid,best_ask,quote_bid_price,quote_ask_price,quote_distance,quote_distance_fraction,competitor_score_bid,competitor_score_ask,our_score_per_side,share_model,share_model_legacy,band_eligible,estimated_reward_share,gross_reward_usd_per_day,history_points,pickoff_events_per_day,adverse_usd_per_day_1min_24h,adverse_usd_per_day_10min_7d,adverse_usd_per_day_markout,band_crossing_prints_per_day,markout_measured,adverse_selection_usd_per_day,supplementary_rebate_usd_per_day,supplementary_holding_usd_per_day,supplementary_income_usd_per_day,resolution_risk,resolution_risk_class,resolution_risk_reason,resolution_risk_sample_markets,resolution_risk_clean_share,net_carry_usd_per_day,capital_usd,estimate_quality,book_history_hours,book_snapshot_count
"US x Iran diplomatic meeting by September 30, 2026?",3247642,0xed5a9e7831ee363d92cb102f2c21e2465b09196ef5beb7c8e23671851a1c3ca4,us-x-iran-diplomatic-meeting-by-september-30-2026,next-round-of-us-iran-peace-talks-byptptpt-20260623022722982,https://polymarket.com/event/next-round-of-us-iran-peace-talks-byptptpt-20260623022722982,92467093729798172795860015164975956539777812580280382263501795773871198126752,102402679475426110774044851720817690724908108674246723425637890637120301946959,Yes,No,2026-09-30,,,0.01,False,,False,15108.53,200.0,21,11,1.5017,200.0,4.5,0.23,0.22,0.24,0.2,0.26,0.0225,0.5,14870.8,16846.6,50.0,published_v2,0.00668,True,0.00335,0.6702,1439,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.010082,0.010082,high,subjective_meeting,subjective/dispute-prone wording contains 'meeting',0,,0.6702,92.0,book_and_history,336.4964,1132
Will the total domestic gross for Spider-Man: Brand New Day be between 800m and 900m by August 31?,2966559,0xfee11055c350d06a6165f39cee89aed0614bfb8dc121cafe6ac1a9a56ce60592,will-the-total-domestic-gross-for-spider-man-brand-new-day-be-between-800m-and-900m-by-august-31-20260717232947959,spider-man-brand-new-day-total-domestic-gross-by-august-31-20260716181307512,https://polymarket.com/event/spider-man-brand-new-day-total-domestic-gross-by-august-31-20260716181307512,109043033056028331542121255630455620206200577792689769930516902682948519640408,70173106851316599378452717299161284730871676083661428980562753042668650152747,Yes,No,2026-08-31,,,0.01,True,culture_fees,True,19603.62,25.0,80,12,1.5013,50.0,4.5,0.595,0.59,0.6,0.56,0.63,0.0338,0.75,440.2,1099.0,3.1,published_v2,0.014,True,0.00705,0.1762,1439,0.0,0.0,6.3903,0.0,0.0,True,6.3903,0.0,0.006521,0.006521,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-6.2141,59.5,book_and_history,288.4053,415
Will NVIDIA be the largest company in the world by market cap on December 31?,676739,0x684e5b72d4e407695397a79ed75ef37273c2655ca2548791a4153233d3744696,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-december-31-244,largest-company-end-of-december-2026,https://polymarket.com/event/largest-company-end-of-december-2026,11876606915924142133615854761923277060697657209957870741155164849437788272266,114033095271617070714983865791504478906266507670567428753203001241312040895286,Yes,No,2026-12-31,,,0.01,True,finance_prices_fees,True,11919.66,31.0,64,13,1.2281,50.0,4.5,0.725,0.72,0.73,0.7,0.75,0.0225,0.5,681.8,927.8,12.5,published_v2,0.03537,True,0.018,0.5581,1439,1.0,0.3755,0.2681,0.0,0.0,True,0.3755,0.0,0.007945,0.007945,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,0.1826,72.5,book_and_history,15.9072,52
"Will Russia enter Druzkhivka by December 31, 2026?",2232192,0xb7d6db12a48e282585501f57871e6e482b9e2c41c68d1d5019bdbd2902209b69,will-russia-enter-druzkhivka-by-december-31-2026,which-cities-will-russia-enter-by-december-31,https://polymarket.com/event/which-cities-will-russia-enter-by-december-31,13676207362387655746963205713590038128620088110508381127494033198879282220597,48450423362097068390752266425061029678470529089502364298292157548990727173078,Yes,No,2026-12-31,,,0.01,False,,False,13423.42,50.0,54,14,1.2141,100.0,6.5,0.545,0.53,0.56,0.49,0.6,0.0488,0.75,2257.9,3601.5,6.2,published_v2,0.00551,True,0.00276,0.138,1439,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.011945,0.011945,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,0.138,109.0,book_and_history,0.0,0
"US announces end of Iranian blockade by December 31, 2026?",3128886,0x46ca741da4abd7ffa993f59ac65bfe83de43ae027accac71d263a493e44064e7,us-announces-end-of-iranian-blockade-by-december-31-2026-20260727171803489-375-949-645-919-269-157-255-857,us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,https://polymarket.com/event/us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,86011229287950365043519117852041614651767455889324682112682327985496937935368,39147524522707536456910747992621671433032838141439193264830818731544404472030,Yes,No,2026-12-31,,,0.001,False,,False,26328.83,100.0,35,15,1.0975,200.0,4.5,0.6915,0.688,0.695,0.657,0.726,0.0338,0.75,20865.8,10138.2,12.5,published_v2,0.00246,True,0.00123,0.1231,1438,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.030312,0.030312,high,subjective_blockade,subjective/dispute-prone wording contains 'blockade',0,,0.1231,276.6,book_and_history,312.4542,910
"Will GPT-6 be released by August 31, 2026?",2850825,0xabe0e41540b70f3535b0d9325a19bc6f8c6bcce0ce27c28636a2e1d5c0c4eda8,will-gpt-6-be-released-by-august-31-2026-778,gpt-6-released-by,https://polymarket.com/event/gpt-6-released-by,31380452762865791793264313641563783010295782641131937184752318076265493577821,110227805407315115408276908830556497292857234032945501079570053955010575568037,Yes,No,2026-08-31,,,0.001,False,tech_fees,True,16979.81,50.0,53,16,1.093,200.0,4.5,0.02,0.015,0.025,,,0.0338,0.75,28655.9,5033.8,12.5,published_v2,0.00494,False,0.00248,0.1239,1439,0.0,0.0,0.3575,0.0,0.0,True,0.3575,0.0,0.000877,0.000877,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-0.2336,8.0,band_ineligible,336.4964,757
Will Scott Jennings be the next White House Press Secretary?,3566306,0x8f38b53c21eb19bc2f5765442d027063c72ef28a1e38e04931c289e7b4385ba0,will-scott-jennings-be-the-next-white-house-press-secretary-20260812211426417,who-will-trump-pick-as-the-next-press-secretary-20260812210729848,https://polymarket.com/event/who-will-trump-pick-as-the-next-press-secretary-20260812210729848,1912123006659202393239555952183008613139794898030657820154477280141921306103,31758653756400617089828602933564954315429073950939555767361942663241343502288,Yes,No,2026-12-31,,,0.001,True,politics_fees,True,9760.27,110.0,31,17,1.0915,50.0,4.5,0.2795,0.276,0.283,0.245,0.314,0.0338,0.75,3001.6,2806.2,3.1,published_v2,0.00222,True,0.00111,0.1224,1438,4.01,1.2276,4.2666,0.0,0.62,True,4.2666,0.001711,0.003063,0.004774,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-4.1442,27.95,book_and_history,95.9011,133
Will Emerson Nolasco Delgado win the next Huancayo mayoral elections?,3542943,0xe5b6626c2289a7aa8962f1f6e001119cd2c398a7160937416fe1c5a2c3671b2b,will-emerson-nolasco-delgado-win-the-next-huancayo-mayoral-elections-20260811165718007,huancayo-mayoral-election-winner-20260811165718694,https://polymarket.com/event/huancayo-mayoral-election-winner-20260811165718694,64560403554199727186976197678168939291412407939123176985568118037522170599338,997365626300301554852893202746568264736104602670242217892353466128671653002,Yes,No,2026-10-04,,,0.01,True,politics_fees,True,7031.02,114.0,30,18,1.0294,20.0,5.5,0.335,0.33,0.34,0.29,0.38,0.0413,0.75,1252.9,1777.1,1.2,published_v2,0.00199,True,0.001,0.1136,1438,3.01,9.1441,6.8854,0.0,0.56,True,9.1441,0.000871,0.001468,0.002339,low,official_election_result,objective election result wording,0,,-9.0305,13.4,book_and_history,0.0,0
Will the highest temperature in Singapore be 34°C on August 21?,3715102,0xf599231d9325e07e0444e7aa14df408a0dd1477ce2a9254911159cd36a450a0d,highest-temperature-in-singapore-on-august-21-2026-34c,highest-temperature-in-singapore-on-august-21-2026,https://polymarket.com/event/highest-temperature-in-singapore-on-august-21-2026,7234064092234993630656185805299459226646373578997028854790713372470513833091,112538797297618590651490960291389098889334268580846241231408974087059774533614,Yes,No,2026-08-21,2026-08-20 16:00:00+00,,0.01,True,weather_fees,True,6267.58,26.0,78,19,1.0244,20.0,4.5,0.21,0.2,0.22,0.17,0.25,0.0338,0.75,218.4,239.4,1.2,published_v2,0.01132,True,0.00569,0.148,1439,1.0,0.5257,6.975,0.0004,0.84,True,6.975,0.000841,0.000921,0.001761,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-6.827,8.4,book_and_history,0.0,0
"Skin cancer vaccine BLA submitted by June 30, 2027?",3727493,0x5801ce623a1d2dcb20bec5708fd9f881326aaf1ff82af22248aceccc7bf29708,skin-cancer-vaccine-bla-submitted-by-june-30-2027,skin-cancer-vaccine-bla-submitted-by-june-30-2027,https://polymarket.com/event/skin-cancer-vaccine-bla-submitted-by-june-30-2027,22259676472245304836987936468688287000552053407103691651974610166463919922548,16134750845460545212560226601776746952415523572048452902099863959122815102518,Yes,No,2027-06-30,,,0.01,False,tech_fees,True,19767.36,200.0,20,20,0.9915,200.0,5.5,0.865,0.86,0.87,0.82,0.91,0.0413,0.75,7411.1,23241.9,4.2,published_v2,0.00336,True,0.00054,0.1075,948,12.16,53.2207,76.5957,0.2214,10.75,True,76.5957,0.066439,0.037918,0.104357,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-76.4882,346.0,book_and_history,6.8956,23
"Will Elon Musk post 200-219 tweets from August 14 to August 21, 2026?",3506011,0xcf4aaa65cf548f0bf28ec33b9a3e99dc2a9282047c8baad6cef9fb1ca9d35519,elon-musk-of-tweets-august-14-august-21-200-219,elon-musk-of-tweets-august-14-august-21,https://polymarket.com/event/elon-musk-of-tweets-august-14-august-21,12119603566787603441206924665842875721619466546883933923933735870690293451213,65830697482244421750516770572265990220541801640854689903562441722687721458540,Yes,No,2026-08-21,2026-08-14 16:00:00+00,,0.001,True,culture_fees,True,153809.22,30.0,65,21,0.9596,50.0,5.5,0.2585,0.252,0.265,0.217,0.3,0.0413,0.75,853.0,1365.4,3.1,published_v2,0.00727,True,0.00365,0.1095,1439,2.0,0.9263,1.7517,0.0,9.32,True,1.7517,0.022542,0.002833,0.025375,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-1.6422,25.85,book_and_history,7.3292,25
Will Oura's market cap be between $7.5B and $10B at market close on IPO day?,2324605,0x704e4ea883b17433c66119bde289259b3c7d3668a0101df9c66fda9350f17fd2,will-ouras-market-cap-be-between-7pt5b-and-10b-at-market-close-on-ipo-day,oura-ipo-closing-market-cap,https://polymarket.com/event/oura-ipo-closing-market-cap,12689182484229854877669526860350721774940981883026493278950506200273140206090,58839448238088121440827860877000138841238483220907178737498825222227140030906,Yes,No,2027-01-01,,,0.01,True,finance_prices_fees,True,6460.38,30.0,72,22,0.8753,50.0,4.5,0.055,0.05,0.06,0.02,0.09,0.0338,0.75,7946.5,935.8,3.1,published_v2,0.00663,False,0.00333,0.0999,1439,2.0,2.6287,0.7776,0.0009,0.04,True,2.6287,3.4e-05,0.000603,0.000637,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-2.5288,5.5,band_ineligible,47.7667,78
Will the highest temperature in Taipei be 33°C on August 21?,3715145,0x95b9b8ee4ff31e9e2afd03185fdf563a08838a14f1eb40dbee242f4efee38a79,highest-temperature-in-taipei-on-august-21-2026-33c,highest-temperature-in-taipei-on-august-21-2026,https://polymarket.com/event/highest-temperature-in-taipei-on-august-21-2026,52075661449210161679553911955906709663777764309544840437136545897644551846656,82756837834145975334875420062811212867759141743084762400460815599035868960936,Yes,No,2026-08-21,2026-08-20 16:00:00+00,,0.01,True,weather_fees,True,6508.34,30.0,71,23,0.7717,20.0,4.5,0.255,0.25,0.26,0.22,0.29,0.0338,0.75,444.8,693.7,1.2,published_v2,0.00559,True,0.0028,0.0841,1439,2.0,0.751,2.5568,0.0,2.09,True,2.5568,0.004381,0.001118,0.005499,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-2.4727,10.2,book_and_history,0.0,0
Jack Lowden announced as next James Bond?,2293863,0x490b4abcc5b23958f5515716fbab843574f9cffef4bc52eac3a3939809757b46,jack-lowdon-announced-as-next-james-bond-917,next-james-bond-actor-398,https://polymarket.com/event/next-james-bond-actor-398,51360528208563810292617548915637013520775537929179951806395074353974983084730,84398328375476251033972782363473460090232405474369579323403988122052606893532,Yes,No,2026-12-31,,,0.001,True,culture_fees,True,14824.92,164.0,24,24,0.7661,50.0,4.5,0.2335,0.232,0.235,0.199,0.268,0.0338,0.75,6730.4,5895.7,3.1,published_v2,0.00106,True,0.00053,0.0869,1438,0.0,0.0,1.4425,0.0,0.0,True,1.4425,0.0,0.002559,0.002559,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-1.3556,23.35,book_and_history,128.7342,196
Strait of Hormuz traffic returns to normal by December 31?,2176270,0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc,strait-of-hormuz-traffic-returns-to-normal-by-december-31,strait-of-hormuz-traffic-returns-to-normal-by-december-31,https://polymarket.com/event/strait-of-hormuz-traffic-returns-to-normal-by-december-31,83783489454659420807679723574840032660002326710045123865554753994450797728825,48727431314333088243693016929623363710488980152833544156961659445129455301311,Yes,No,2026-12-31,,,0.01,False,,False,69004.41,300.0,11,25,0.7471,200.0,4.5,0.345,0.34,0.35,0.33,0.36,0.0112,0.25,44566.1,77570.3,112.5,published_v2,0.00502,True,0.00252,0.7554,1439,0.0,0.0,0.9652,0.0,0.0,True,0.9652,0.0,0.015123,0.015123,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-0.2098,138.0,book_and_history,322.8,1127
"Will Anthropic IPO by October 31, 2026?",2421094,0x8062cf78d93f9202f4c0a1018d141f4af35d486a368f07e65265f27d48b4e040,will-anthropic-ipo-by-october-31-2026-213,anthropic-ipo-by,https://polymarket.com/event/anthropic-ipo-by,35480485928147694422522317298160081194603766865102488154902775756915955129166,85723516070077730883105909049388061597049173281613201910087943908235778734129,Yes,No,2027-07-01,,,0.01,False,finance_prices_fees,True,17154.71,100.0,37,26,0.6328,50.0,5.5,0.735,0.73,0.74,0.69,0.78,0.0413,0.75,8700.6,4446.8,3.1,published_v2,0.0014,True,0.0007,0.0702,1439,0.0,0.0,1.1351,0.0,0.0,True,1.1351,0.0,0.008055,0.008055,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-1.0649,73.5,book_and_history,288.4053,434
"US announces end of Iranian blockade by September 7, 2026?",3702025,0x420c29cfe95850eb2351fdef6ae4ff063b2a574aa947d0fe82e7433fd58946f2,us-announces-end-of-iranian-blockade-by-september-7-2026,us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,https://polymarket.com/event/us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,85537695086136451841213091961585038790379342143882045014518113758321124798550,104280583115403662396394482578256803063712061723022497469891819484743533495173,Yes,No,2026-09-07,,,0.01,False,,False,27963.9,200.0,15,27,0.626,200.0,4.5,0.085,0.08,0.09,0.05,0.12,0.0338,0.75,56149.9,35831.2,12.5,published_v2,0.0007,False,0.00035,0.0697,1438,0.0,0.0,0.144,0.0,0.0,True,0.144,0.0,0.003726,0.003726,high,subjective_blockade,subjective/dispute-prone wording contains 'blockade',0,,-0.0743,34.0,band_ineligible,7.3292,25
"US announces end of Iranian blockade by August 31, 2026?",2910438,0x47ec761ae98d7c28b20c0222f1507e3af0f198a904f86b4a264b2e987f0b80c7,us-announces-end-of-iranian-blockade-by-august-31-2026-20260713152715084-642-513-584-641-939-632-729,us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,https://polymarket.com/event/us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,3995405418988860809616760430893135352799035734473152509556306061162112667429,21515528084926948718188410049221867058078937518895951601155499933747657106361,Yes,No,2026-08-31,,,0.01,False,,False,201799.37,400.0,6,28,0.5902,200.0,4.5,0.045,0.04,0.05,0.01,0.08,0.0338,0.75,287844.4,76130.6,12.5,published_v2,0.00033,False,0.00016,0.0657,1439,0.0,0.0,1.0367,0.0,0.0,True,1.0367,0.0,0.001973,0.001973,high,subjective_blockade,subjective/dispute-prone wording contains 'blockade',0,,-0.971,18.0,band_ineligible,343.0797,1010
Will the total domestic gross for Spider-Man: Brand New Day be at least 900m by August 31?,2966560,0xfa52f5817ea613138cbd376abf4adf5d128dcee82c7b04751409577b70cb15bc,will-the-total-domestic-gross-for-spider-man-brand-new-day-be-at-least-900m-by-august-31-20260717232947960,spider-man-brand-new-day-total-domestic-gross-by-august-31-20260716181307512,https://polymarket.com/event/spider-man-brand-new-day-total-domestic-gross-by-august-31-20260716181307512,90637634602465887787679268906394947498675150453246427560023668237516913996412,104048927254391605559503338438251940033005756348725037395683942528584904565700,Yes,No,2026-08-31,,,0.001,True,culture_fees,True,43378.91,25.0,79,29,0.5665,50.0,4.5,0.4175,0.413,0.422,0.383,0.452,0.0338,0.75,171.6,1213.1,1.0,published_v2,0.03514,True,0.00257,0.0642,1439,1.0,0.2378,4.5795,0.0107,0.96,True,4.5795,0.005859,0.004575,0.010434,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-4.5153,41.75,book_and_history,250.735,302
