sampled_at_utc,study_generated_at_utc,condition_id,token_id,question,band_eligible,pot_usd_per_day,estimated_reward_share,gross_reward_usd_per_day,competitor_score_bid,competitor_score_ask,mid_price
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x3ac82d3447ff222604626287b92d8a45731d72e07b7b47619df42aec0388daf0,55595556258774567918752975451775423794152292281076057134748231800080512307251,U.S. anti-cartel operation outside of the U.S. by August 31?,True,50.0,0.00273,0.1367,912.9,456.1,0.28
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x9a3ff64dc7b27e7f084e9e87a23bd02d5299fd102108f370a58fcbac51963dc4,107273775676449200979927456535236791831772322945131072060581391551237363891341,Will WTI Crude Oil (WTI) hit (LOW) $75 in August?,True,50.0,0.00229,0.1145,489.4,2723.4,0.195
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x524ce344b80a160c237d91a33efdd8b82468b0dc0d33f60d500f8bf69b80b8bb,110124369154659006328320349797831539154282530245624469518430389053088403535939,Israel x Iran ceasefire continues through September 30?,True,100.0,0.00087,0.0873,14311.9,38042.9,0.825
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x059db22dae2d735516017d47d1def0ea43e5d7221259c3aaa60c090d32566d4e,55971470416346250683160735704399570247011109335331406752116975462530324793173,Fed Rate Hike by October 2026 Meeting?,True,150.0,0.0023,0.345,21687.5,30250.2,0.39
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc,83783489454659420807679723574840032660002326710045123865554753994450797728825,Strait of Hormuz traffic returns to normal by December 31?,True,200.0,0.00041,0.0814,35644.8,30697.5,0.355
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x0b97e52a22b02d3e67202aaba02d1015bf9d6b84c914667cbba7903ffc4ac203,98845344108232066361192338501214421509097326906782147065710298229897373226115,Will Estral Esports Win Circuito Desafiante 2026 Split 2,True,172.0,0.00044,0.0756,150.7,2842.9,0.59
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x4219333003bec448d39151bfe3ea3d6fa91f15bedf23c3f26e28d304be5c893a,10469726765839873820362073467622520213014698522496709122786884143196824781207,Mojtaba Khamenei seen in public by September 30?,False,30.0,0.00947,0.2841,14079.4,5229.7,0.08
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x15d2e66dcf1d63c5695d6d0e9e2f8e06dd246d00fd5dfc254f2b22baa33bfa1b,79397895660526576528066965797785113521241099187839967306891454236823723226031,Mitch McConnell steps down from Senate before his term ends?,True,100.0,0.00264,0.2642,7555.5,4718.7,0.18
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xc1556ecbe613e403dfb9e38bf1b25a8aee2aa1687f2b343bc896dd2c9763ed74,10451124928493844849355057703558222404087423201197729105477623039880661055484,Israel x Iran ceasefire continues through August 31?,False,200.0,0.00034,0.0681,68877.0,36691.5,0.945
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xbad91c213787a7542345b8abd72a1d55754987c47ba82ef5d4aa625ac046f024,5999744809251301706347643347936329832844892022892714657139343310900542354250,Iran full airspace closure by August 31?,False,150.0,0.00045,0.0678,27644.4,49929.8,0.065
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x79b7408f02df2eba4034ca4c06ddf17b8dbeacc5adbe8595969e7573912c4e3b,31155599200443620024532103683912072563894181253510224263086924270624693692711,"US-Iran Final Nuclear Deal by December 31, 2026?",True,150.0,0.0018,0.2706,27663.6,38033.3,0.155
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x518df6d694ad4658fe6c284850c029c6f00c9b3609cf05f7757d1fecba1641f8,93838758485682196196905291300375162467135643283271312557929851459086376825083,US-Iran 60 day negotiation period extended?,False,100.0,0.00065,0.065,821937.8,19215.4,0.0345
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xbdc0827c873d1c3c538e549ab94c77829f7e40fd3376b25164c0279f744a87bc,12185556481340489379773654389350032355704902537483278634717505718103733768215,"US x Iran diplomatic meeting by August 31, 2026?",False,200.0,0.00032,0.0644,38812.6,46628.3,0.065
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,Will WTI Crude Oil (WTI) hit (HIGH) $90 in August?,True,100.0,0.00061,0.061,1069.5,10240.7,0.445
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x1c4c6a698f0591ddf0c96e1beb56f8c75112ef849331bf3b0388f14830a7421d,34732988886981510167874389845708832808627284379840131351229635795767825787404,Israel x Iran ceasefire continues through December 31?,True,100.0,0.0005,0.0496,7489.8,25181.1,0.68
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xd66eadbd64b3e815e31c7994470b44fe15c7ef1146f78937d0cfaa4c04fcfda7,110568426700454908727813010666782278712329569099119457880819387703511785225289,Will the Republicans win the Wisconsin governor race in 2026?,True,300.0,0.00016,0.0483,189588.5,77667.6,0.235
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xc4ebab9f2830f6df67ab1b98615d5a9be8eebd106fd0f37e9a25e4a4edcc427c,10618696958805388450273982806566275602086720395274264354492776873006123003601,"Will no qualifying diplomatic US-Iran meeting occur by September 30, 2026?",True,353.0,0.00053,0.1854,29118.9,23781.3,0.71
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x80b3af88cb991980e8da1ce86b9794a0957f96ec98c29319dd7ba65e9744d82b,75028752776148090296091099469912621384650554615761384992997579209329182670110,Fed rate hike in 2026?,True,200.0,0.00091,0.1815,81098.6,27529.1,0.485
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x490b4abcc5b23958f5515716fbab843574f9cffef4bc52eac3a3939809757b46,51360528208563810292617548915637013520775537929179951806395074353974983084730,Jack Lowden announced as next James Bond?,True,173.0,0.00025,0.0432,24140.7,12502.3,0.2415
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xc3d5708780de5528998aeb53ca90e7ade64804f9f2386392a681435d5c42b44d,36595575197199846398267481972385180643951985822505187477756829088194676076340,Israel x Iran ceasefire continues through October 31?,True,100.0,0.00041,0.041,42815.3,30484.4,0.745
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x0bbe0a32de38e6347c54c95dd85f393a1bfc9ed1cd81cc380778dd2a53268140,23203632841189475708280064162511361456086962297837796299771671981344165717640,"Will Xiaomi be added to the Chinese Military Companies list by June 30, 2027?",True,50.0,0.00079,0.0393,3968.3,636.9,0.135
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xe826fca28aaf8ec53f7c559c7b0b724e9e453a29a0c778d30d3cd15637c515bf,45063875880066251858543979991557984147168891581088372515187232013927823905000,Will the total domestic gross for Spider-Man: Brand New Day be less than 900m by August 31?,True,25.0,0.00148,0.037,660.8,2110.7,0.535
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xfa52f5817ea613138cbd376abf4adf5d128dcee82c7b04751409577b70cb15bc,90637634602465887787679268906394947498675150453246427560023668237516913996412,Will the total domestic gross for Spider-Man: Brand New Day be at least 900m by August 31?,True,25.0,0.00154,0.0386,3661.2,2020.6,0.4565
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d,109876868437950584369987384406356259939519193117253465815665152916226511121427,Will Flávio Bolsonaro win the 2026 Brazilian presidential election?,True,237.0,0.00143,0.3382,119664.8,78728.1,0.3275
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x0eac38a2c3cc0a5fe2c0466d0acd532247e3c14e0d722800a9037d14e2f1eb0c,30900134143647623595212824547850996893605060591808366444402443328262043837981,"Will BYD be removed from Chinese Military Companies list by June 30, 2027?",True,50.0,0.00074,0.0369,4228.3,4656.4,0.135
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc,23545193122217391289335133742859160842475987880562465754342378273033942179195,Strait of Hormuz traffic returns to normal by September 30?,False,400.0,9e-05,0.0342,326326.1,146155.3,0.085
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0xe3d75ecd7868363ec78711b1d8ee1eeb31b6271dc2167020b40f8908f77a4c4a,108598221404560104836005666012791375865836306866840015288552393088517459815146,"Will ByteDance be added to the Chinese Military Companies list by June 30, 2027?",True,50.0,0.00063,0.0316,6381.1,4939.3,0.125
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x704e4ea883b17433c66119bde289259b3c7d3668a0101df9c66fda9350f17fd2,12689182484229854877669526860350721774940981883026493278950506200273140206090,Will Oura's market cap be between $7.5B and $10B at market close on IPO day?,True,30.0,0.00096,0.0288,3247.1,4578.2,0.165
2026-08-18T10:42:21Z,2026-08-18T10:41:31Z,0x07414b5c367c107a563491fe8b354abd5b07f099fce3b25cd57e80110ce780ff,66927681890807157099470165716246633203004186776250608138332007527588171676125,Will another city host the final of the 2030 FIFA World Cup?,True,120.0,0.0008,0.0955,15688.9,4732.5,0.365
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x1d206fb84f01c0d4e9c912df5192e82c100c46e3deb142b73e65965ee426f698,70708588707597131397183229396269258995989558405114166250680826934564621936050,"Will Ukraine re-enter Huliaipole by October 31, 2026?",True,50.0,0.79994,39.997,15.6,6.3,0.205
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xfee11055c350d06a6165f39cee89aed0614bfb8dc121cafe6ac1a9a56ce60592,109043033056028331542121255630455620206200577792689769930516902682948519640408,Will the total domestic gross for Spider-Man: Brand New Day be between 800m and 900m by August 31?,True,25.0,0.51617,12.9042,32.0,9.5,0.48
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x0f60d3650df2dc7b6dbd80af09c8b532613b59c6953cf51121c5ce61ecd12af4,71016070962684939747616826101120759025766698953240225832952874666786839083210,Will Ukraine re-enter Obratne or Temyrivka by September 30?,True,50.0,0.0434,2.1702,164.8,137.7,0.135
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xd057d6d4326e89bd33545af4ca650c474fab86cb87490902a5c5a29e34b21f99,49012212898427200427683367651252118045679382387582392018450794553793824751081,"Will OpenAI’s Astra model be released by September 15, 2026?",True,30.0,0.02241,0.6724,711.1,545.2,0.42
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xed5a9e7831ee363d92cb102f2c21e2465b09196ef5beb7c8e23671851a1c3ca4,92467093729798172795860015164975956539777812580280382263501795773871198126752,"US x Iran diplomatic meeting by September 30, 2026?",True,200.0,0.02463,4.9264,4454.7,8742.2,0.24
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xd1e170bb3784126a8f08fcfa98d0f5882e36b5aead705cbbacd9ca58cc826404,4531934967989449618597246656427245596989081851955017497335999066131857730524,Will Russia capture Dovha Balka by September 30?,True,50.0,0.0463,2.315,1204.9,515.0,0.195
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x137cf69002f2f24c6cbc7572321db1f6fd995f53d2457fda7e52f7fd82446794,36883966188402112469990905672991660623877201475532264419725150949897779581736,US ceasefire against Iran continues through August 31?,True,2000.0,0.00023,0.4513,55384.8,104195.8,0.825
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x30174f3f46398e37c96a07b45916e01eab9a8a854ecb624ac73a91a8490fd074,88752597571738831347942513760817776151125290177540731190810686943474863159303,"US announces end of Iranian blockade by September 30, 2026?",True,300.0,0.00142,0.4258,19154.3,8794.0,0.325
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x9b94d7e2e7250d156b02435f4d59634d357dc789d842eaee15c35c1158d5bca4,81141181734308200688529988294612116916451750660627985997279610187281303006599,US ceasefire against Iran continues through September 15?,True,500.0,0.00082,0.4117,15168.9,22698.6,0.705
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,100634343526080296675519866299852321904923227713546778501901177732799107316096,US ceasefire against Iran continues through September 30?,True,1000.0,0.00038,0.3848,32468.7,34855.7,0.565
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xe7a464eaf3aa5f378aeb08cef1d23ddb58f75b46aba414e8b66a2a451f168a7d,76162681986412222084151815751378210731459809297643200339009832543804919900919,"US x Iran diplomatic meeting by March 31, 2027?",True,200.0,0.0019,0.3792,6580.5,8826.5,0.755
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xfa52f5817ea613138cbd376abf4adf5d128dcee82c7b04751409577b70cb15bc,90637634602465887787679268906394947498675150453246427560023668237516913996412,Will the total domestic gross for Spider-Man: Brand New Day be at least 900m by August 31?,True,25.0,0.01624,0.406,360.0,189.3,0.5005
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xba614421a4d40861fa12757201aefc25d46d4b83a27e19c22c8d51e5e44f5863,80474695682415756390380669000042784925445702961502578806126407605713500499735,"Will Ukraine re-enter Rodynske by December 31, 2026?",True,50.0,0.00755,0.3775,821.5,1554.1,0.23
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xce5320bc858fcb8439fd6ca00b30487c0dab38304a52f1e72a8c7566ba0de7cb,99113614367688573136962325291183384313127226180940471563260324075093791363685,"Will CATL be removed from Chinese Military Companies list by June 30, 2027?",True,50.0,0.00744,0.372,921.2,416.9,0.185
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x36fba860abdbb03c88c782df08d407434ee69be069b6cbac25cffddc2f1b437a,17306927942046812963523554047158683729350184908440966752162806116949623483484,Will Iran Reconstruction Funding be in a US-Iran deal in 2026?,True,30.0,0.0109,0.3269,3023.5,1134.6,0.215
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xe826fca28aaf8ec53f7c559c7b0b724e9e453a29a0c778d30d3cd15637c515bf,45063875880066251858543979991557984147168891581088372515187232013927823905000,Will the total domestic gross for Spider-Man: Brand New Day be less than 900m by August 31?,True,25.0,0.00562,0.1406,552.6,177.7,0.485
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x47ec761ae98d7c28b20c0222f1507e3af0f198a904f86b4a264b2e987f0b80c7,3995405418988860809616760430893135352799035734473152509556306061162112667429,"US announces end of Iranian blockade by August 31, 2026?",False,400.0,0.00067,0.2667,88098.6,18734.3,0.075
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xaf03b0032d5e71c6072db014aee0974074e0470cdc5b5d715e316379b9f20058,52169322600821890381117463154253211812785715327597043129121226793267434086998,"Will OpenAI’s Astra model be released by September 30, 2026?",True,30.0,0.00987,0.2961,3714.0,1254.1,0.711
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xbc43a765b1fb2a7ffabf7d57cc64be3754a07f6dbbb657130b520875f204c772,17443762976949623694088004697408060308723388673315163575129823536915593826648,Will Russia capture all of Vovchansk by September 30?,True,50.0,0.04307,2.1536,1249.7,3034.0,0.105
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xa9104f56e519ebd4b67445d3f1d848c731246d164667c16076ccf5cd3c2cbae7,102405031957307560503561333409618095593477871114890353966023375026462360097063,Will S8UL Esports Win the 2026 Esports Content Group of the Year Award?,True,133.0,0.00174,0.2312,1408.3,717.8,0.64
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xb1f29bc8e26a0f6ff20ea06fbe43b2e989df8f16b88ffb7d40b77b39ca1029a7,1020729574389749021261801070429282951695242675160775691845001254913872403044,Will Ukraine re-enter Uspenivka by September 30?,True,50.0,0.00447,0.2235,78.8,1391.9,0.1035
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x72ae00a9c819522724484336c65afddffbd3a96596595530178493e25d6c39d6,61878077034939631499810076559734026691334391752953602121591808349124991762735,US ceasefire against Iran continues through August 22?,False,1000.0,0.00022,0.2159,57895.2,698968.7,0.9635
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x6f14538957e0818c9b89f92cebc7b8021643b08d648e421f9d67ae548f32d9a2,31068660914146850918979656181361913763914201142453037527900969818162030622410,"Will Russia capture all of Ternuvate by December 31, 2026?",True,50.0,0.00437,0.2185,1424.0,2410.3,0.104
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x59807c6726f0d7111f1879a255d11bf772fec5d58bd79562f76637c21a3bb6d9,32959319162469428241742931252794025673861016626327139344084864031443960739513,Will Dilution of Iranian Uranium be in a US-Iran deal in 2026?,False,30.0,0.00731,0.2194,1697.0,1885.1,0.095
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,Will WTI Crude Oil (WTI) hit (HIGH) $90 in August?,True,100.0,0.002,0.2001,3687.5,3117.5,0.455
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x961be2a838df85be6e2fca3436a306c42b7bd43232281930b29058723882450e,34033024736666028240891966173782523244120584448013594407745887401970292248013,Printr FDV above $100M one day after launch?,False,50.0,0.00366,0.1829,1808.3,1702.4,0.0665
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x7881be33e724d46ebc3dc1b46d0cc79a8c1be7699726f9d308876851955cc040,7798084841190454946980201951308463846300721503223956238714683739095631696042,Will Russia capture Kupiansk-Vuzlovyi by September 30?,False,50.0,0.03073,1.5364,1816.8,1774.3,0.095
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x52ac1a23a52c410d1a87dd1ed1f62d41ba66f5195fdc9fb729ed7f468e00a313,109821443613620273213973655632583457203413318099376356117904673656167759401159,Will Russia capture Huliaipilske by September 30?,True,50.0,0.02717,1.3583,2014.3,2419.5,0.115
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x305c77ad59fa89533c15e415d8e6a57eb490215094cc9f937b963a19c5f66c44,61266035338126609097678341943704872420259083406996666017235624389844409717472,US ceasefire against Iran continues through August 25?,False,500.0,0.0003,0.1491,41903.2,91070.3,0.925
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xe1e98945a41511e7c249271d03bd587024b20b9040ef986491bcc768b432c2a5,33164932470418863755748465346678564216092385775806932299613529866790135339908,Will Mary Peltola win the most votes in the Alaska Senate primary final round?,False,50.0,0.01191,0.5955,2586.5,2074.1,0.919
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x46ca741da4abd7ffa993f59ac65bfe83de43ae027accac71d263a493e44064e7,86011229287950365043519117852041614651767455889324682112682327985496937935368,"US announces end of Iranian blockade by December 31, 2026?",True,100.0,0.00148,0.148,10798.4,8435.2,0.6865
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x60b4ee89a443d75781b3f01b1811779fa622612a2e2eaacbedaeb66671a50ab9,55858197590584287605035617136822938534237079808085652364183111468537002659665,Will Russia enter Krasnopillya by September 30?,False,50.0,0.03948,1.9742,1368.3,2141.5,0.096
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xce30a577d01fae8689a05218fde403388d8bce41649f8156c96ccf104d631b59,73316049507498931433586698093569969731375872043666758023277792674657837743941,"Will Russia capture all of Stepnohirsk by December 31, 2026?",True,50.0,0.02138,1.0688,4207.7,2575.3,0.13
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xabe0e41540b70f3535b0d9325a19bc6f8c6bcce0ce27c28636a2e1d5c0c4eda8,31380452762865791793264313641563783010295782641131937184752318076265493577821,"Will GPT-6 be released by August 31, 2026?",False,50.0,0.00226,0.1131,5513.3,7212.2,0.0445
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x8f38b53c21eb19bc2f5765442d027063c72ef28a1e38e04931c289e7b4385ba0,1912123006659202393239555952183008613139794898030657820154477280141921306103,Will Scott Jennings be the next White House Press Secretary?,False,38.0,0.00274,0.1041,1156.4,1137.1,0.09
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc,83783489454659420807679723574840032660002326710045123865554753994450797728825,Strait of Hormuz traffic returns to normal by December 31?,True,400.0,0.0023,0.9211,61497.8,48739.6,0.355
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0xce1b8885440154c0ec0fee0a082114a759d0a8743e2893910530989b54d3405b,22106818100964793110337682625443257125525969131485267370509047858345190825106,Will Russia capture Serhiivka by December 31?,True,50.0,0.00764,0.3821,3905.9,3246.7,0.175
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x233de1da162309649fd451ca62d21b0f9f1df57ecd38aa98c5d35f70c8d1198a,94469179705280893777971597801759617328006508277714367871965066605003760218525,Will the Serbian National Assembly be dissolved by December 31?,True,50.0,0.00193,0.0967,1612.4,416.2,0.837
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x627ed310dc3977b2d71d96a4f2fccd6050553f6f165efd6c29578f5678f3f863,10607811134100509957624069126100003761957535212038625093115595525420972141962,"Will Russia capture all of Kostyantynivka by December 31, 2026?",True,50.0,0.00707,0.3537,7387.2,3508.9,0.55
2026-08-19T02:53:42Z,2026-08-19T02:52:52Z,0x9b33bbf1e183219e96a82119efc3b4c940dc76f6f70a4c9a4e5c6435c77b1926,110045286823841869393344971487649834487620465556215229511862904315055493588843,Will Russia capture Novodmytrivka by September 30?,True,50.0,0.01561,0.7805,3547.3,4149.4,0.165
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0x008023f30b40ae88a3c968b90f7843e51f0f53963fba4d32d4ca17a62ea600e4,29323022755825172696816009380961334812790406894102285904412513227482999448164,"Next White House Press Secretary announced by September 4, 2026?",True,200.0,1.0,200.0,0.0,0.0,0.42
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0xe1834f327abed7c11a67a011652fc033fb1dc22aa411439e310dcec61da18227,102587264952848201927833761087731865998952324171371972911764480283287726691947,"Will Iran target Egypt by September 15, 2026?",True,50.0,1.0,50.0,0.0,0.0,0.105
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0x1d206fb84f01c0d4e9c912df5192e82c100c46e3deb142b73e65965ee426f698,70708588707597131397183229396269258995989558405114166250680826934564621936050,"Will Ukraine re-enter Huliaipole by October 31, 2026?",True,50.0,0.92959,46.4796,0.7,0.5,0.185
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0x0f60d3650df2dc7b6dbd80af09c8b532613b59c6953cf51121c5ce61ecd12af4,71016070962684939747616826101120759025766698953240225832952874666786839083210,Will Ukraine re-enter Obratne or Temyrivka by September 30?,True,50.0,0.3537,17.6852,45.7,49.4,0.135
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0xd1e170bb3784126a8f08fcfa98d0f5882e36b5aead705cbbacd9ca58cc826404,4531934967989449618597246656427245596989081851955017497335999066131857730524,Will Russia capture Dovha Balka by September 30?,True,50.0,0.34889,17.4447,85.3,276.5,0.205
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,100634343526080296675519866299852321904923227713546778501901177732799107316096,US ceasefire against Iran continues through September 30?,True,1000.0,0.00152,1.5227,8196.5,13974.1,0.69
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,Will WTI Crude Oil (WTI) hit (HIGH) $90 in August?,True,100.0,0.05098,5.0976,1048.6,465.4,0.44
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0x137cf69002f2f24c6cbc7572321db1f6fd995f53d2457fda7e52f7fd82446794,36883966188402112469990905672991660623877201475532264419725150949897779581736,US ceasefire against Iran continues through August 31?,True,2000.0,0.00037,0.7359,33961.1,79870.8,0.845
2026-08-19T10:46:22Z,2026-08-19T10:45:31Z,0x3e232a4ce235fd75b5b4c3a81d4a1dd856000477c7b3e951af3b36966a43428d,28037886647821375928261219813055131174090509345660848587644149863236268478041,Will the highest temperature in Shanghai be 30°C on August 20?,True,36.0,0.17554,6.3193,52.8,97.9,0.335
