token_id,resolution_quality,resolution_quality_reason,market_slug,condition_id,question,resolution_source,closed,active,row_count,matched_token_id
38445023851151660993666237267712981362686626593721378545175263940037718392453,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
39868334616416198807949752283369812140405922679892143235010445758953229852190,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
40006011392479278716728826026838613216160228550879638897627220487286855929731,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
40553687028357385570012767684841134153932705410424731659907218042194272368471,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
43595531958558267934455886300539818619407063141211246186008687659488782680099,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
44437828835918970572754149333933371073424732398014446529359093781493670177161,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
45368672532526393278374326096994364441839328602765138400884696484182735669678,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
46312529158416609898079553446176504311993678139330779840129310682124759689495,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
46567293169762615147895646425485617554441306631537089020538395786901322917919,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
47023711886305169056492096249555528542703014486558261912292037818725403752387,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
49392941570105364136260733296256694668953936853425008121232455111039667577613,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
54276033582078673401364183324244113404590190122705464276265601906123612097189,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,Will Gavin Newsom win the 2028 Democratic presidential nomination?,,False,True,2,54533043819946592547517511176940999955633860128497669742211153063842200957669
54572000029212935673052439719725586286825272140344408035506650961899605870132,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
5507002448215074708225758146727257088401648564170159284971453870150105389484,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
56331397442298013031637751743917063488782287296146609687478597202083892654134,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
58490859328243212279412541458794308476991330364217513266494370658881648510092,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
59321570078981957404322649328545878699660073329309555379644003141241984102873,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
6003904135061936547790713762650160287283968685330714568260970794818630572545,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
61613488725066083738210184581306920941345613326763512563637655013981415522667,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-bitmine-announce-holding-7m-eth-before-2027,0xfc98aa62bdcc0568c31fb97c6ef36f17e8675276dc42828194738b2273612328,Will Bitmine announce that it holds more than 7M ETH before 2027?,,False,True,2,64172740292631568430927824514370563467849451267431738273328581112453821186477
64878024075602183699156662219369658987528318242892742621033559221343264826784,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,,False,True,2,65176072261324737856085688071627118509549293922582857186996392180609764586527
6527439894417506591879968948282318689407350936676236354099012095831027111289,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
67373916574892147187303350639912478865725471574290142157843896025797680800073,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
67718828845920386088756585343739136462737819134101447980208518213153186435007,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
70793601446090039661054641455695184186449486414315553749871988541954441879851,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
71401904010247427754329784277924205841820460862761252985878735510347215917540,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
71827396998946924240056437519949087820352588387051888811942886136688189882272,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
72658409951937037557330466069493521123162576893855382716193681926723120815132,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
7372974787747703468363173511100619071382102470973414293127030322668458888034,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
75208882562061736657939023955710826509085710699626885913084554436160797786348,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
7860813783788365228940933442491468403797619020807014292210819082168277140152,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-bitmine-announce-holding-7m-eth-before-2027,0xfc98aa62bdcc0568c31fb97c6ef36f17e8675276dc42828194738b2273612328,Will Bitmine announce that it holds more than 7M ETH before 2027?,,False,True,2,79895259217313803731994821165811563835560123915015381398339503448680100356036
80335609827602144973400700286800607989091471408666208830272936565190453177519,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
81376564113205313962670402623035723408891351486682543183723967037757376935125,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
85292437971517117051013315167706863955194415897735521976898340308311851733649,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,Will Gavin Newsom win the 2028 Democratic presidential nomination?,,False,True,2,87854174148074652060467921081181402357467303721471806610111179101805869578687
9026469324102605102307422463289059933747503876473416458571688189421606447134,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
,unresolved_active,,will-pete-buttigieg-win-the-2028-democratic-presidential-nomination-687,0x4c325469d9b516ef4e6b8f73a81a12607dec075e3c2fd454f91765aaeafc4760,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,,False,True,2,91031279171981959197361710127213577102576826515163085396576756946418341946256
96397436209982671453637902269275725071267861171129419695794443407952680636718,gamma_market_not_found_for_websocket_token,token id was not found in scanned Gamma market pages,,,,,,,,
